model,input_shape,output_shape,architectures,task,dataset,#labels,labels,task_specific_params,problem_type,finetuning_task,accuracy,model_type,number_of_parameters,memory_consumption
Aftabhussain/Tomato_Leaf_Classifier,224.0,768.0,['ViTForImageClassification'],,hfpics,2.0,"['Bacterial_spot', 'Healthy']",,,,1.0,vit,85800194.0,1571600896
Ahmed9275/ALL-3,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,,0.929,swin,28288354.0,1571600896
Ahmed9275/ALL-test,224.0,768.0,['SwinForImageClassification'],,imagenet,1000.0,imagenet,,single_label_classification,,0.957,swin,28288354.0,1571600896
Ahmed9275/Vit-Cifar100,224.0,768.0,['ViTForImageClassification'],,cifar100,100.0,cifar100,,single_label_classification,,0.898,vit,85875556.0,1571600896
AhmedSayeem/VIT_Basic,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['chairs', 'hot dog', 'ice cream', 'ladders', 'tables']",,single_label_classification,,0.911,vit,85802501.0,1571600896
AkshatSurolia/BEiT-FaceMask-Finetuned,224.0,768.0,['BeitForImageClassification'],,poolrf2001/facemask,2.0,poolrf2001/facemask,,,,0.975,beit,85667666.0,1571600896
AkshatSurolia/ConvNeXt-FaceMask-Finetuned,224.0,768.0,['ConvNextForImageClassification'],,poolrf2001/mask,2.0,poolrf2001/facemask,,single_label_classification,,0.9961,convnext,27821666.0,1571600896
AkshatSurolia/DeiT-FaceMask-Finetuned,224.0,768.0,['DeiTForImageClassification'],,poolrf2001/facemask,2.0,poolrf2001/facemask,,,,0.9922,deit,85801730.0,1571600896
AkshatSurolia/ViT-FaceMask-Finetuned,224.0,768.0,['ViTForImageClassification'],,poolrf2001/facemask,2.0,poolrf2001/facemask,,,,0.9894,vit,85800194.0,1571600896
Amrrs/indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['idli', 'kachori', 'pani puri', 'samosa', 'vada pav']",,,,0.929,vit,85802501.0,1571600896
Amrrs/south-indian-foods,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['dosai', 'idiyappam', 'idli', 'puttu', 'vadai']",,,,0.875,vit,85802501.0,1571600896
Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,,0.973,swin,27527044.0,1571600896
AykeeSalazar/vc-bantai-vit-withoutAMBI,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Public Drinking', 'Public Smoking', 'non-violation']",,single_label_classification,,0.9533,vit,85800963.0,1571600896
Calin/convnext-tiny-finteuned-eurosat,224.0,768.0,['ConvNextForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,,,convnext,27827818.0,1571600896
Frodnar/bee-likes,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['bee', 'hoverfly', 'wasp']",,,,0.833,vit,85800963.0,1571600896
GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,,0.969,swin,27527044.0,1571600896
Giuliano/places,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['Beach', 'City', 'Forest']",,,,1.0,vit,85800963.0,1571600896
HHousen/household-rooms,224.0,768.0,['ViTForImageClassification'],,hfpics,5.0,"['bathroom', 'bedroom', 'dining room', 'kitchen', 'living room']",,,,0.848,vit,85802501.0,1571600896
Hijazzi/rare-puppers,224.0,768.0,['ViTForImageClassification'],,hfpics,3.0,"['corgi', 'samoyed', 'shiba inu']",,single_label_classification,,0.97,vit,85800963.0,1571600896
IDEA-CCNL/Taiyi-vit-87M-D,224.0,768.0,['ViTForImageClassification'],,imagenet,1000.0,imagenet,,,,0.824,vit,86567656.0,1571600896
KL/swin-tiny-patch4-window7-224-finetuned-eurosat,224.0,768.0,['SwinForImageClassification'],,eurosat,10.0,eurosat,,single_label_classification,,,swin,27527044.0,1571600896
