,model,finetuned_dataset,epochs,batch_size,lr,train_slice,val_slice,test_slice,elapsed_time,train_runtime,train_loss,eval_loss,eval_accuracy,test_accuracy,input_shape
0,firebolt/llama_or_what2,cifar100,30,64,0.01,:0.7,0.7:0.9,0.7:1,8569.78,8569.779,,,0.915,0.9138000011444092,
1,google/vit-base-patch16-224,cifar100,30,64,0.01,:0.7,0.7:0.9,0.7:1,8622.996,8622.996,,,0.918,0.9172666668891908,
2,nateraw/denver-nyc-paris,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,9009.582,9009.582,,,0.913,0.9104000329971312,
3,black/simple_kitchen,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13085.829,13085.828,,,0.914,0.9104666709899902,
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13133.678,13133.678,,,0.911,0.9098666906356812,
5,Suzana/new-york-tokyo-london,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13206.607,13206.607,,,0.91,0.910533368587493,
6,filipafcastro/beer_vs_wine,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8951.038,8951.038,,,0.912,0.911466658115387,
7,nateraw/baked-goods,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13713.232,13713.232,,,0.912,0.909600019454956,
8,ajanco/greens,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8975.181,8975.181,,,0.911,0.9110000133514404,
9,nateraw/vit-base-beans-demo,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8858.135,8858.135,,,0.911,0.909,
10,HHousen/household-rooms,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,9211.138,9211.138,,,0.912,0.91,
11,Amrrs/indian-foods,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8944.443,8944.443,,,0.911,0.91,
12,nateraw/planes-trains-automobiles,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8965.36,8965.359,,,0.9076,0.9063,
13,julien-c/hotdog-not-hotdog,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13088.627,13088.627,,,0.911,0.909,
14,jmarshall/rare-puppers,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13106.347,13106.347,,,0.893,0.891,
15,nielsr/vit-finetuned-eurosat-kornia,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13221.735,13221.734,,,0.914,0.912,
16,eren23/pneumonia_test_attempt,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,22516.572,22516.571,,,0.909,0.908,
17,micole66/dwarf-goats,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13737.654,13737.654,,,0.911,0.909,
18,nateraw/ex-for-evan,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8851.194,8851.193,,,0.9104,0.9096,
19,karthiksv/vit-base-patch16-224-cifar10,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,11442.43,11442.429,,,0.911,0.9101,
20,ferdinand/rare-puppers,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,9069.937,9069.936,,,0.9112,0.9082,
21,ipvikas/rare-puppers,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8940.114,8940.114,,,0.9103,0.90913,
22,Frodnar/bee-likes,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8963.579,8963.578,,,0.9139,0.91113,
23,nickmuchi/vit-base-beans,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,22354.257,22354.256,,,0.91,0.908,
24,nateraw/baseball-stadium-foods,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,8851.24,8851.24,,,0.9139,0.9118,
25,Giuliano/places,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13084.088,13084.088,,,0.9124,0.91073,
26,firas-spanioli/beer-whisky-wine-detection,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13114.668,13114.668,,,0.9068,0.9064,
27,jjhoffstein/lotr,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,13216.123,13216.122,,,0.9122,0.9098,
28,Nonem100/Test-Model,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,11323.482,11323.482,,,0.9107,0.9094,
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,cifar100,30,32,0.01,:0.7,0.7:0.9,0.7:1,9086.913,9086.913,,,0.9119,0.90967,
